time,phoneme,vocalic,consonantal,back,anterior,open,close,nasal,stop,target_vowels,target_plosives,non_target_plosives,continuant,lateral,flap,trill,voice,strident,labial,dental,velar,pause
0.0,<p:>,0.02628621,0.12014136,0.031147256,0.017085968,0.033808067,0.00977267,0.012916511,0.27318394,0.014027406,0.40860486,0.012453834,0.04361434,0.07616048,0.119506255,0.0004445698,0.016914818,0.056970254,0.16128838,0.048298426,0.46627614,0.9724448
0.01,<p:>,0.023087382,0.16651854,0.03496123,0.02152654,0.036390487,0.014374355,0.02065348,0.30963755,0.010095131,0.43439844,0.018683955,0.032895815,0.1425503,0.18587823,0.0013803107,0.019863255,0.037257697,0.24815811,0.055306643,0.5044005,0.9710336
0.02,<p:>,0.01781948,0.1648266,0.02865904,0.01951217,0.030352134,0.01402214,0.017734662,0.2977193,0.008294941,0.42719445,0.02033772,0.02790847,0.18236811,0.18860129,0.0016248681,0.018096458,0.030462679,0.23827678,0.054819476,0.5145964,0.9745364
0.03,<p:>,0.014790848,0.15717316,0.02374533,0.016229331,0.025845757,0.0127651235,0.01505724,0.2824906,0.007769563,0.42043316,0.02054253,0.02611986,0.19559829,0.16976894,0.0015196984,0.016323833,0.026885355,0.2269031,0.0524983,0.50842595,0.9774223
0.04,<p:>,0.012770184,0.14753447,0.019963814,0.013585031,0.021473885,0.0116961785,0.012910759,0.26917624,0.0072824764,0.4132667,0.019962817,0.025335174,0.18643947,0.14605996,0.0013226685,0.014470324,0.024927514,0.21739593,0.05003981,0.49672025,0.9798624
0.05,<p:>,0.011345738,0.13959545,0.017257709,0.011664048,0.018130884,0.011184504,0.011443831,0.2616601,0.006810611,0.40706044,0.01960032,0.02528994,0.17288935,0.1248234,0.0011682682,0.012780293,0.023599891,0.21088545,0.04819304,0.48594788,0.9818428
0.06,<p:>,0.009963786,0.131231,0.015020674,0.010134903,0.015166575,0.01067658,0.01014085,0.2508361,0.006293927,0.39869726,0.019268362,0.025292678,0.15785329,0.10547456,0.0010435147,0.011191664,0.022630718,0.20353737,0.0465511,0.4724825,0.9836684
0.07,<p:>,0.00880288,0.12339169,0.013218125,0.008906281,0.012704393,0.010207209,0.009047467,0.23965462,0.005848142,0.38894862,0.019043317,0.025010219,0.1436277,0.0895897,0.0009514073,0.009819279,0.021955173,0.19654505,0.045114078,0.45931113,0.9852365
0.08,<p:>,0.007906804,0.11634325,0.011867991,0.007811952,0.01089675,0.009678677,0.008172439,0.22797774,0.005554008,0.3777244,0.018817436,0.025014088,0.12871589,0.07788541,0.00087884674,0.008743669,0.021349462,0.18938574,0.04388263,0.44507867,0.9864589
0.09,<p:>,0.0072130864,0.111227356,0.010832552,0.0070405654,0.009574762,0.009142623,0.007461332,0.21827158,0.0053220005,0.36756235,0.018667188,0.025240611,0.11599673,0.069723696,0.0008305225,0.007941206,0.021014905,0.1839723,0.04325892,0.43297955,0.9872423
0.1,<p:>,0.0065965117,0.10656943,0.009965188,0.0063849622,0.008467377,0.008638578,0.00673636,0.20927817,0.0051690596,0.35804793,0.018462347,0.025583353,0.103626,0.06273023,0.0007885466,0.0072489223,0.0208773,0.17857388,0.042793646,0.4224985,0.98787045
0.11,<p:>,0.0060822424,0.1022997,0.009248402,0.0058473265,0.007591512,0.008183264,0.006072389,0.20131482,0.0050457707,0.35033825,0.018227,0.02596768,0.092652254,0.056965258,0.00075770187,0.0066792625,0.02088718,0.17357293,0.04253022,0.41339484,0.9884163
0.12,<p:>,0.0057106195,0.09833406,0.008715486,0.0054683,0.0069693592,0.007866381,0.005526701,0.19457047,0.004975705,0.34417507,0.01805924,0.026242424,0.0838009,0.052246183,0.00073768507,0.0062514716,0.020961344,0.1696734,0.04237915,0.4060443,0.98886144
0.13,<p:>,0.0053691217,0.09480691,0.008233247,0.0051339427,0.0064006397,0.007578862,0.004975509,0.18863142,0.0049031833,0.33852133,0.017851999,0.026588935,0.07566251,0.04824575,0.0007248852,0.0058685476,0.021140205,0.16627622,0.04234651,0.3993538,0.9892629
0.14,<p:>,0.0050876513,0.09217975,0.007836549,0.004873036,0.0059183585,0.0073930635,0.0045358776,0.18433097,0.0048525427,0.33427387,0.017804524,0.027033573,0.06936983,0.045060836,0.0007235304,0.005559273,0.021351198,0.16407692,0.04268193,0.3942983,0.9895698
0.15,<p:>,0.0048837974,0.09064776,0.007565783,0.004683136,0.005554098,0.0073168636,0.004184637,0.18167807,0.004865383,0.3319077,0.017890641,0.027711423,0.06464005,0.042698745,0.0007380434,0.0053405296,0.021735672,0.16319789,0.043259934,0.39138883,0.9897505
0.16,<p:>,0.0047116517,0.09013618,0.007387347,0.0045635384,0.0052644266,0.0072874213,0.003888839,0.18128313,0.0048959693,0.33386794,0.01824717,0.028434623,0.061375443,0.040782955,0.0007698085,0.0051642903,0.02202144,0.16490102,0.044352114,0.39275524,0.9897664
0.17,<p:>,0.004570618,0.09063158,0.0072556096,0.0044853766,0.005014711,0.007312996,0.0036187475,0.183717,0.0049584936,0.33906585,0.018721215,0.029258814,0.05878315,0.039338574,0.0008152926,0.0050273957,0.022407562,0.16830717,0.045968402,0.39691386,0.98964375
0.18,<p:>,0.004523497,0.0928059,0.007272837,0.004493411,0.0048785717,0.0074697724,0.0034276133,0.18836673,0.005118414,0.34788513,0.019591909,0.030348208,0.057660367,0.038603466,0.00089241867,0.004988204,0.02300611,0.17425801,0.048354182,0.4041301,0.98931843
0.19,<p:>,0.0045153536,0.0960435,0.0073103635,0.0045557893,0.0048010894,0.007718505,0.0032741758,0.1946011,0.0053242096,0.35868654,0.02070181,0.03164435,0.057378963,0.038247693,0.0009965261,0.0050093117,0.023732653,0.1806317,0.05136382,0.4140564,0.9889006
0.2,<p:>,0.004563425,0.10054527,0.007449064,0.0046505337,0.0048103165,0.008077993,0.0031704109,0.20270598,0.005607457,0.371745,0.022193395,0.03325861,0.057816207,0.0383584,0.0011415592,0.005103296,0.024595635,0.18897274,0.055195436,0.4264877,0.98828936
0.21,<p:>,0.004710896,0.10709497,0.0077749696,0.0048369286,0.0049378807,0.008600825,0.0031517013,0.21344952,0.0060195634,0.38830066,0.024284003,0.03535386,0.059490383,0.03912867,0.0013534661,0.005318573,0.025681486,0.20073676,0.060016256,0.44250214,0.9873992
0.22,<p:>,0.004831799,0.114726745,0.0080600865,0.0050398563,0.0050340113,0.009121979,0.0030915607,0.22695082,0.006396074,0.4069029,0.026524896,0.03747525,0.0607185,0.03978814,0.0016210884,0.005521852,0.027200844,0.21391745,0.065662205,0.4602899,0.9863014
0.23,<p:>,0.005097782,0.1251805,0.008583644,0.005406136,0.0052883374,0.009943598,0.0031477502,0.24543384,0.006977275,0.4301412,0.030197281,0.04027098,0.06439647,0.041338272,0.0020397322,0.005920418,0.02913495,0.2340122,0.072828464,0.4819758,0.9849148
0.24,<p:>,0.0054272525,0.13769273,0.009184251,0.0058580744,0.005605102,0.010968874,0.003224809,0.27003878,0.0076063843,0.4585295,0.034670312,0.043285415,0.06953184,0.04339975,0.0026556752,0.006420734,0.031474315,0.2590474,0.08208285,0.5059348,0.9829628
0.25,<p:>,0.005845431,0.15461819,0.00995425,0.006418331,0.00609513,0.012323644,0.003346354,0.30295908,0.008361878,0.49300742,0.04107931,0.04655357,0.07872272,0.045909368,0.0037164632,0.007081329,0.034193337,0.29304338,0.09483036,0.53447413,0.98022246
0.26,<p:>,0.006410516,0.17748493,0.010880069,0.0072101937,0.0067234864,0.013981409,0.0035090249,0.34589067,0.0091943415,0.5347934,0.049774125,0.04989473,0.09273711,0.04885102,0.0056731883,0.007993177,0.036907997,0.33956596,0.11287529,0.5662013,0.9764472
0.27,<p:>,0.0072249374,0.2046752,0.011762385,0.008280541,0.007391733,0.015852291,0.0036869738,0.40727666,0.0099730855,0.5901708,0.06165373,0.053458653,0.11019083,0.0502818,0.01001827,0.009059245,0.038033415,0.40345186,0.1356868,0.5934914,0.97107464
0.28,<p:>,0.008358387,0.23376533,0.012561091,0.010338851,0.008678578,0.018006165,0.0038261646,0.49746823,0.010746826,0.66107297,0.081569046,0.05815916,0.13324122,0.047843594,0.021413064,0.010304093,0.036271024,0.49306744,0.16157539,0.6135798,0.96273124
0.29,<p:>,0.011678927,0.25481933,0.016833555,0.016059628,0.013493191,0.021218479,0.0047453083,0.579507,0.01397884,0.7255413,0.111722544,0.06466099,0.14407642,0.03674107,0.06081657,0.012875074,0.037484854,0.63880825,0.19336516,0.5948246,0.9531961
0.3,<p:>,0.049980033,0.4317043,0.069907606,0.036777828,0.06784285,0.04750533,0.016079888,0.7594876,0.07407109,0.83181965,0.2859982,0.13823272,0.277813,0.055412307,0.33884835,0.049113512,0.0492426,0.79828113,0.3427309,0.63198036,0.9004955
0.31,<p:>,0.3030152,0.41444623,0.3742172,0.074859925,0.41150755,0.09974109,0.053821992,0.83649987,0.4108274,0.85821724,0.36076874,0.19778866,0.3106863,0.17939647,0.3722355,0.21208255,0.07069728,0.8525852,0.48093507,0.64094436,0.66530913
0.32,<p:>,0.59796715,0.39718816,0.71037775,0.11378071,0.686936,0.124871224,0.11492392,0.73355794,0.72602135,0.76409996,0.29547074,0.20817676,0.28450274,0.27900282,0.40562266,0.4286217,0.10375998,0.7241263,0.42459223,0.6390663,0.53001916
0.33,<p:>,0.68293905,0.2676041,0.7659833,0.1268594,0.71266603,0.11416382,0.14705557,0.48222795,0.76717514,0.54298335,0.20186655,0.23817532,0.25581545,0.42267814,0.0938893,0.31764412,0.1168527,0.44458634,0.27426597,0.5624182,0.65743357
0.34,<p:>,0.29038185,0.1900721,0.42007956,0.08851776,0.32541117,0.054871175,0.11524888,0.28073466,0.4163465,0.3796709,0.08290921,0.15326865,0.22839914,0.4326157,0.010273319,0.20666654,0.13255185,0.17803809,0.15503071,0.38959977,0.8860101
0.35000000000000003,<p:>,0.13807161,0.16813889,0.2038329,0.0709314,0.16483793,0.052564804,0.115738146,0.24887022,0.21757784,0.3525033,0.06961009,0.120506324,0.21786411,0.44255322,0.00808755,0.09651506,0.11872009,0.17445083,0.1441195,0.3589104,0.931988
0.36,<p:>,0.10223155,0.1468096,0.14467989,0.061582338,0.12646694,0.055576928,0.117345735,0.23313665,0.14841056,0.32865095,0.074800335,0.098684184,0.21053365,0.37912086,0.009380543,0.06994719,0.10442752,0.19764027,0.15130751,0.32856947,0.9433686
0.37,<p:>,0.080619946,0.14666255,0.110340655,0.05730313,0.11168844,0.05271441,0.09967827,0.25606865,0.09777305,0.34930268,0.11094027,0.08689805,0.23747285,0.30323508,0.011213574,0.06070538,0.07654363,0.24850902,0.20734547,0.34653533,0.9497923
0.38,<p:>,0.069545135,0.17203127,0.092008315,0.073168114,0.09092426,0.060282055,0.08132601,0.31177017,0.084762774,0.4019285,0.17032772,0.09984461,0.28937054,0.28840894,0.026920054,0.061055362,0.07820831,0.30421218,0.2717527,0.4022844,0.9432212
0.39,<p:>,0.07147864,0.19435978,0.09941639,0.07784674,0.08856483,0.07766154,0.07142601,0.38603467,0.072511084,0.46103102,0.27534714,0.14670971,0.31261393,0.24438621,0.06724575,0.0655834,0.06340948,0.3567656,0.35033295,0.4564108,0.9324134
